"Year.of.Release","Run.Time.in.minutes","Movie.Rating"
1994,142,9.3
1972,175,9.2
1993,135,9.2
1975,87,9.2
2008,152,9
1993,195,9
2003,201,9
1957,96,9
1974,202,9
2016,147,9
2022,121,9
1994,154,8.9
2021,87,8.9
1976,207,8.9
1976,90,8.9
1975,91,8.9
1999,139,8.8
2001,178,8.8
2010,148,8.8
1994,142,8.8
2002,179,8.8
1966,178,8.8
2021,164,8.8
2006,247,8.8
2022,164,8.8
2020,138,8.8
1993,169,8.8
2021,158,8.8
1984,95,8.8
1982,92,8.8
1976,80,8.8
2023,140,8.7
2014,169,8.7
1990,145,8.7
1999,136,8.7
1975,133,8.7
1980,124,8.7
2021,140,8.7
2022,157,8.7
2022,153,8.7
2020,153,8.7
1980,86,8.7
2018,154,8.7
1977,90,8.7
2018,147,8.7
1978,83,8.7
1985,101,8.7
1978,95,8.7
1977,94,8.7
2023,180,8.6
1995,127,8.6
1991,118,8.6
1998,169,8.6
1977,121,8.6
1999,189,8.6
2001,125,8.6
1991,137,8.6
2002,130,8.6
1997,116,8.6
1946,130,8.6
1954,207,8.6
1962,133,8.6
2022,170,8.6
2022,163,8.6
2000,104,8.6
1996,115,8.6
1987,145,8.6
2003,160,8.6
1977,97,8.6
2000,155,8.5
2006,151,8.5
1979,117,8.5
2019,132,8.5
2006,130,8.5
1985,116,8.5
2014,106,8.5
1960,109,8.5
1994,110,8.5
2012,165,8.5
1995,106,8.5
1994,88,8.5
2002,150,8.5
1998,119,8.5
1942,102,8.5
1988,155,8.5
2011,112,8.5
1988,89,8.5
1954,112,8.5
1968,165,8.5
1936,87,8.5
1931,87,8.5
1964,147,8.5
2018,158,8.5
2003,366,8.5
1959,105,8.5
1960,131,8.5
2019,135,8.5
2021,173,8.5
2019,157,8.5
1991,157,8.5
1977,90,8.5
1965,95,8.5
1979,120,8.5
1977,80,8.5
1980,88,8.5
1980,146,8.4
2019,122,8.4
2012,164,8.4
1986,137,8.4
2019,181,8.4
2003,120,8.4
1984,160,8.4
2018,117,8.4
1981,115,8.4
1985,142,8.4
2000,113,8.4
1979,147,8.4
2017,105,8.4
2018,149,8.4
2008,98,8.4
2009,170,8.4
2016,106,8.4
2006,137,8.4
1964,95,8.4
2018,126,8.4
1981,149,8.4
1950,110,8.4
1957,88,8.4
1957,116,8.4
1963,143,8.4
1940,125,8.4
2019,145,8.4
2021,164,8.4
2020,101,8.4
2021,152,8.4
2019,141,8.4
1954,124,8.4
2004,143,8.4
1975,88,8.4
2004,115,8.4
2018,164,8.4
2004,92,8.4
2018,177,8.4
2015,160,8.4
2015,117,8.4
2020,122,8.4
2002,110,8.4
1987,119,8.4
1971,88,8.4
2016,130,8.4
1976,84,8.4
2009,153,8.3
2022,130,8.3
2023,147,8.3
1995,170,8.3
2000,102,8.3
1999,122,8.3
1997,126,8.3
1968,149,8.3
1983,170,8.3
2004,108,8.3
1987,116,8.3
1971,136,8.3
1995,178,8.3
2012,115,8.3
2020,160,8.3
1984,229,8.3
1992,99,8.3
1995,81,8.3
2009,96,8.3
1983,131,8.3
2010,131,8.3
2001,122,8.3
1997,134,8.3
1958,128,8.3
1961,179,8.3
2010,103,8.3
1941,119,8.3
2022,175,8.3
1962,218,8.3
1962,129,8.3
1960,125,8.3
1927,153,8.3
1952,103,8.3
1973,129,8.3
2016,161,8.3
1959,136,8.3
1931,99,8.3
2011,123,8.3
1944,107,8.3
1952,143,8.3
2007,165,8.3
1948,89,8.3
2022,168,8.3
2019,143,8.3
2022,148,8.3
1950,80,8.3
1994,133,8.3
2021,135,8.3
1998,170,8.3
2021,147,8.3
1957,95,8.3
1965,185,8.3
2017,125,8.3
1945,189,8.3
2018,170,8.3
2022,162,8.3
2019,176,8.3
1955,126,8.3
1983,132,8.3
1967,128,8.3
1975,146,8.3
2014,171,8.3
1969,94,8.3
2019,148,8.3
2013,160,8.3
1967,82,8.3
2006,135,8.3
1995,145,8.3
2005,181,8.3
1986,96,8.3
2015,156,8.3
2022,134,8.3
2013,135,8.3
2013,135,8.3
2016,174,8.3
1974,91,8.3
2013,180,8.2
1963,172,8.2
2023,161,8.2
2007,122,8.2
1976,114,8.2
2021,148,8.2
2010,138,8.2
1993,127,8.2
2004,119,8.2
2007,158,8.2
2005,140,8.2
1982,109,8.2
1998,103,8.2
2000,102,8.2
2003,111,8.2
1995,178,8.2
1999,107,8.2
2005,132,8.2
2018,130,8.2
2019,119,8.2
1988,132,8.2
2003,100,8.2
1989,127,8.2
1939,238,8.2
2001,135,8.2
2006,118,8.2
1997,138,8.2
2004,156,8.2
2020,97,8.2
1992,130,8.2
1974,130,8.2
1975,91,8.2
2009,129,8.2
1959,121,8.2
1980,124,8.2
1985,160,8.2
2018,104,8.2
1965,132,8.2
2012,321,8.2
2022,140,8.2
2019,96,8.2
1950,138,8.2
2015,163,8.2
1954,105,8.2
1950,88,8.2
2020,117,8.2
1961,110,8.2
2018,139,8.2
2019,132,8.2
1948,126,8.2
2004,189,8.2
1953,131,8.2
1997,89,8.2
1955,125,8.2
1957,126,8.2
1994,439,8.2
1942,99,8.2
2017,147,8.2
2018,156,8.2
1921,68,8.2
1969,127,8.2
1924,45,8.2
1990,98,8.2
2017,167,8.2
1953,96,8.2
1991,237,8.2
1980,173,8.2
2005,112,8.2
2011,155,8.2
1960,179,8.2
2012,62,8.2
1949,108,8.2
1975,142,8.2
1956,101,8.2
2019,138,8.2
2016,135,8.2
1964,141,8.2
2016,112,8.2
1952,89,8.2
1956,110,8.2
1962,108,8.2
2018,170,8.2
1932,92,8.2
1973,88,8.2
2013,186,8.2
2018,130,8.2
2012,135,8.2
2012,129,8.2
2017,157,8.2
2019,141,8.2
2016,105,8.2
2012,151,8.2
2014,171,8.2
2008,169,8.2
2005,172,8.2
2015,149,8.2
1959,88,8.2
1973,122,8.1
2013,153,8.1
1986,89,8.1
2011,130,8.1
2015,120,8.1
2014,149,8.1
2003,143,8.1
1978,183,8.1
2014,99,8.1
2016,139,8.1
1975,124,8.1
1982,117,8.1
2017,115,8.1
1998,117,8.1
1996,98,8.1
2007,111,8.1
1984,107,8.1
1989,128,8.1
2019,152,8.1
1939,102,8.1
2002,141,8.1
2016,145,8.1
2011,146,8.1
2015,95,8.1
2007,148,8.1
1996,93,8.1
2017,137,8.1
2013,123,8.1
2003,132,8.1
1976,120,8.1
1965,172,8.1
1998,107,8.1
2001,92,8.1
2015,129,8.1
1986,120,8.1
2013,134,8.1
2015,118,8.1
2010,98,8.1
2011,140,8.1
2000,98,8.1
1995,101,8.1
1975,185,8.1
2019,122,8.1
1962,123,8.1
1980,129,8.1
1939,129,8.1
1995,98,8.1
1988,86,8.1
2008,116,8.1
1999,86,8.1
1959,212,8.1
2004,132,8.1
1979,162,8.1
1984,145,8.1
2014,122,8.1
1976,121,8.1
1957,96,8.1
2004,80,8.1
1949,93,8.1
2000,154,8.1
2009,93,8.1
1954,108,8.1
2016,130,8.1
1993,133,8.1
1967,127,8.1
1966,83,8.1
1957,161,8.1
1940,130,8.1
2004,121,8.1
1992,171,8.1
2014,153,8.1
1973,102,8.1
1934,105,8.1
1997,87,8.1
1953,136,8.1
1940,129,8.1
1998,105,8.1
1946,170,8.1
1974,155,8.1
1930,152,8.1
1976,177,8.1
1923,74,8.1
2009,92,8.1
1948,135,8.1
1995,167,8.1
1959,99,8.1
2012,125,8.1
1994,99,8.1
1957,91,8.1
1966,121,8.1
1982,188,8.1
2014,196,8.1
2012,122,8.1
1966,205,8.1
1962,106,8.1
1975,162,8.1
1955,117,8.1
2013,127,8.1
2007,153,8.1
2000,173,8.1
2001,224,8.1
1958,126,8.1
1957,110,8.1
1927,94,8.1
1960,128,8.1
1988,142,8.1
1926,78,8.1
1928,114,8.1
2012,117,8.1
1957,110,8.1
2001,183,8.1
1925,95,8.1
1978,99,8.1
1960,89,8.1
2015,163,8.1
1987,83,8.1
1977,106,8.1
2006,167,8.1
1991,125,8.1
1969,145,8.1
2004,117,8.1
2015,132,8.1
1955,118,8.1
2002,129,8.1
2006,155,8.1
1949,114,8.1
1937,113,8.1
1951,111,8.1
2016,136,8.1
1926,107,8.1
1949,115,8.1
1988,87,8.1
2019,130,8.1
2013,87,8.1
1997,110,8.1
1951,86,8.1
1961,91,8.1
2003,156,8.1
1986,120,8.1
2021,92,8.1
2019,134,8.1
2012,151,8.1
2022,172,8.1
2008,104,8.1
2015,109,8.1
1928,72,8.1
1996,128,8.1
1980,150,8.1
2022,154,8.1
2013,146,8.1
2000,156,8.1
2022,150,8.1
2019,124,8.1
1999,90,8.1
2010,134,8.1
2023,112,8.1
1998,107,8.1
2014,166,8.1
2012,165,8.1
2020,130,8.1
2002,93,8.1
1999,174,8.1
2005,122,8.1
1971,122,8.1
1992,174,8.1
1943,110,8.1
2005,99,8.1
2004,160,8.1
2010,140,8.1
1996,185,8.1
1992,137,8.1
1995,130,8.1
2002,155,8.1
2005,132,8.1
2023,105,8
2021,155,8
2017,164,8
2010,108,8
1987,98,8
2016,128,8
2005,124,8
2014,121,8
2001,113,8
2023,156,8
2015,156,8
2013,126,8
2004,115,8
2021,111,8
2015,144,8
2016,108,8
2014,114,8
2012,143,8
1971,118,8
1974,106,8
2010,118,8
2016,108,8
2006,144,8
1968,137,8
1999,188,8
2006,143,8
1995,129,8
2016,106,8
1991,84,8
2020,100,8
1993,101,8
1992,156,8
1990,181,8
1992,90,8
1988,133,8
1967,106,8
2006,117,8
2004,137,8
1968,112,8
1997,81,8
2003,125,8
1991,189,8
2003,178,8
2007,115,8
1988,124,8
2016,118,8
2008,120,8
1994,102,8
1940,99,8
1975,125,8
1989,120,8
1969,110,8
1996,135,8
1977,93,8
1955,92,8
1962,134,8
1979,94,8
1966,131,8
2014,139,8
1984,117,8
1973,151,8
1972,167,8
2008,106,8
2005,144,8
1982,191,8
1962,95,8
1961,134,8
1963,138,8
1959,141,8
1986,125,8
1953,118,8
1960,174,8
1952,85,8
1971,181,8
2020,103,8
1982,95,8
2002,101,8
1920,67,8
2003,103,8
1958,95,8
1941,100,8
2011,125,8
1959,161,8
1999,112,8
1975,107,8
1982,158,8
1996,136,8
2001,137,8
1963,186,8
1998,169,8
1945,86,8
2013,137,8
2014,93,8
2015,159,8
2004,126,8
1972,138,8
2007,115,8
1947,97,8
2004,141,8
1967,101,8
2007,112,8
1953,120,8
1957,96,8
2021,154,8
1995,181,8
2018,188,8
1998,127,8
2018,109,8
2014,160,8
2007,96,8
2020,101,8
1972,91,8
1964,112,8
1973,116,8
2008,237,8
1946,104,8
1987,104,8
1961,122,8
1962,95,8
1954,108,8
2008,130,8
1949,106,8
1969,95,8
1986,113,8
1974,92,8
2004,127,8
1952,137,8
1945,103,8
2010,115,8
1943,163,8
2003,132,8
1962,96,8
1998,110,8
2000,145,8
2006,144,8
1970,115,8
1988,84,8
2014,170,8
2004,140,8
2002,142,8
2014,116,8
2009,140,8
2017,182,8
1963,81,8
2016,184,8
1968,103,8
1943,75,8
1924,140,8
1982,107,8
1961,105,8
1962,113,8
1960,151,8
1921,107,8
2021,162,8
2004,98,8
1952,86,8
1924,90,8
2013,144,8
1928,76,8
2009,116,8
2015,130,8
2001,110,8
1994,160,8
1998,103,8
2019,130,8
2021,158,8
2022,150,8
1975,174,8
2014,170,8
2011,126,8
2015,120,8
1999,145,8
2003,171,8
2006,164,8
2009,128,8
2008,120,8
1982,87,8
2023,150,7.9
2023,163,7.9
1997,194,7.9
2004,142,7.9
1993,76,7.9
2016,116,7.9
2019,130,7.9
2000,122,7.9
1997,155,7.9
2018,134,7.9
1993,119,7.9
2009,87,7.9
2001,147,7.9
2009,127,7.9
2009,162,7.9
2014,113,7.9
2017,130,7.9
2021,242,7.9
2008,126,7.9
2006,109,7.9
2019,108,7.9
2001,90,7.9
2012,103,7.9
1982,115,7.9
2004,99,7.9
2003,138,7.9
1990,105,7.9
2009,112,7.9
2008,107,7.9
2014,132,7.9
2017,113,7.9
1965,123,7.9
2013,117,7.9
2019,137,7.9
1980,133,7.9
1984,82,7.9
2012,127,7.9
1993,144,7.9
